Subject,Accuracy
1,77.7861163227017
2,69.7733801468241
3,72.4449804039795
4,61.8072618072618
5,80.7707432166732
6,74.2720109626584
7,74.0840517241379
8,81.5326199516741
9,76.6807405001624
10,70.1583434835566
11,63.8373570520966
12,56.8148793955246
13,76.7089499647639
14,58.9637018564699
15,74.5104895104895
16,67.5328741390106
17,72.0218579234973
18,61.9971870604782
19,69.0011160714286
20,76.8308489954634
21,68.6173853524983
22,71.8717683557394
23,75.1106894370651
24,56.3282336578581
25,65.3252850435949
26,70.3733333333333
27,63.6422553467271
28,59.3550106609808
29,64.8825065274151
30,72.8360088133459
31,63.641425389755
32,66.1820296597848
33,80.6028833551769
34,69.8921319796954
35,62.3296820732033
36,63.9175257731959
37,71.4106189129752
38,60.6904231625835
39,69.6558915537018
40,79.5275590551181
